,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
219,213,Vyncint Smith,NYJ,23,WR/wr,13,4,31,17,54.8%,225,13.2,0,11,37,7.3,1.3,17.3,1
221,215,Ben Watson,NWE,39,TE,10,8,24,17,70.8%,173,10.2,0,9,26,7.2,1.7,17.3,0
222,216,Peyton Barber,TAM,25,RB/rb,16,7,24,16,66.7%,115,7.2,1,4,16,4.8,1.0,7.2,1
223,217,Jaron Brown,SEA,29,WR/wr,14,4,28,16,57.1%,220,13.8,2,10,48,7.9,1.1,15.7,1
224,218,Jesse James,DET,25,TE,16,11,27,16,59.3%,142,8.9,0,8,23,5.3,1.0,8.9,0
225,219,Tim Patrick,DEN,26,WR/wr,8,2,31,16,51.6%,218,13.6,0,14,38,7.0,2.0,27.3,0
226,220,Chester Rogers,IND,25,WR/wr,12,6,28,16,57.1%,179,11.2,2,11,27,6.4,1.3,14.9,2
227,221,Ian Thomas,CAR,23,TE/te,16,3,30,16,53.3%,136,8.5,1,10,19,4.5,1.0,8.5,0
228,222,Logan Thomas,DET,28,TE/te,16,3,28,16,57.1%,173,10.8,1,10,17,6.2,1.0,10.8,0
229,223,Ameer Abdullah,MIN,26,RB,16,0,21,15,71.4%,88,5.9,1,5,16,4.2,0.9,5.5,1
230,224,Ross Dwelley,SFO,24,TE/te,16,6,22,15,68.2%,91,6.1,2,8,25,4.1,0.9,5.7,0
231,225,Demetrius Harris,CLE,28,TE/te,15,6,27,15,55.6%,149,9.9,3,10,23,5.5,1.0,9.9,0
232,226,Marcedes Lewis,GNB,35,TE,16,11,19,15,78.9%,156,10.4,1,8,25,8.2,0.9,9.8,0
233,227,Tony Pollard,DAL,22,RB,15,0,20,15,75.0%,107,7.1,1,4,21,5.4,1.0,7.1,1
234,228,Malik Turner,SEA,23,WR/wr,15,3,22,15,68.2%,245,16.3,1,10,33,11.1,1.0,16.3,0
235,229,Mark Walton,MIA,22,RB/rb,7,4,21,15,71.4%,89,5.9,0,3,18,4.2,2.1,12.7,1
236,230,Justin Watson,TAM,24,WR/wr,16,2,26,15,57.7%,159,10.6,2,10,17,6.1,0.9,9.9,0
